ws,h,w,s,alpha,alphatop50,alphatop25
5.0,500.0,10.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,10.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,25.0,4,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,25.0,6,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,25.0,8,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,25.0,10,0.1975322266960016,0.31135786515077485,0.2957154131724466
5.0,500.0,50.0,4,0.19753222669600173,0.3113578651507753,0.2957154131724513
5.0,500.0,50.0,6,0.19753222669600176,0.311357865150776,0.29571541317245276
5.0,500.0,50.0,8,0.1975322266960018,0.3113578651507766,0.2957154131724544
5.0,500.0,50.0,10,0.19753222669600184,0.31135786515077724,0.295715413172457
5.0,500.0,75.0,4,0.19753225345253292,0.3113581595442657,0.29571641125952275
5.0,500.0,75.0,6,0.19753226683079741,0.3113583067409977,0.2957169103030062
5.0,500.0,75.0,8,0.19753228020906113,0.31135845393772127,0.29571740934645546
5.0,500.0,75.0,10,0.197532293587324,0.31135860113443503,0.295717908389866
5.0,500.0,100.0,4,0.19756358401238752,0.3116601370713439,0.29651549995089715
5.0,500.0,100.0,6,0.19757926167639192,0.3118112619167318,0.2969155043041029
5.0,500.0,100.0,8,0.1975949386776975,0.3119623793532836,0.2973154826375315
5.0,500.0,100.0,10,0.19761061501637484,0.31211348938181893,0.29771543495436165
5.0,500.0,125.0,4,0.1984567800165441,0.31878511042603513,0.31135395438452274
5.0,500.0,125.0,6,0.19891841069489186,0.322492087869921,0.3191535755200963
5.0,500.0,125.0,8,0.19937961200635612,0.32619464947582616,0.32694014638668717
5.0,500.0,125.0,10,0.19984038491228298,0.32989280591095715,0.3347137038265537
8.0,150.0,3.0,4,0.21307688740701086,0.1885467925848151,0.29571541316694555
8.0,150.0,3.0,6,0.21950182917096306,0.13778107113305377,0.2957154131641971
8.0,150.0,3.0,8,0.22529964789974097,0.09196785784622477,0.2957154131614474
8.0,150.0,3.0,10,0.23059365083419794,0.050133550986632365,0.29571541315869615
8.0,150.0,7.5,4,0.23631128680173144,0.002265692422657039,0.28087402105550086
8.0,150.0,7.5,6,0.25233695957221786,-0.12555123239551197,0.2734855515705213
